,ip.src,pkt_count,pkt_length,tcp_perc,udp_perc,icmp_perc,ratio_comm,type,device_type
109,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
110,192.168.1.163,4,88.5,0,1,0,0.25,5,8
111,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
112,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
113,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
114,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
115,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
116,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
117,192.168.1.163,4,88.5,0,1,0,0.25,5,8
118,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
119,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
120,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
121,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
122,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
123,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
124,192.168.1.163,4,88.5,0,1,0,0.25,5,8
125,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
126,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
127,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
128,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
129,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
130,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
131,192.168.1.163,4,88.5,0,1,0,0.25,5,8
132,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
133,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
134,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
135,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
136,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
137,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
138,192.168.1.163,4,88.5,0,1,0,0.25,5,8
139,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
140,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
141,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
142,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
143,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
144,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
145,192.168.1.163,4,88.5,0,1,0,0.25,5,8
146,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
147,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
148,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
149,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
150,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
151,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
152,192.168.1.163,4,88.5,0,1,0,0.25,5,8
153,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
154,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
155,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
156,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
157,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
158,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
159,192.168.1.163,4,88.5,0,1,0,0.25,5,8
160,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
161,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
162,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
163,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
164,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
165,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
166,192.168.1.163,4,88.5,0,1,0,0.25,5,8
167,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
168,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
169,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
170,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
171,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
172,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
173,192.168.1.163,4,88.5,0,1,0,0.25,5,8
174,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
175,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
176,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
177,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
178,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
179,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
180,192.168.1.163,4,88.5,0,1,0,0.25,5,8
181,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
182,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
183,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
184,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
185,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
186,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
187,192.168.1.163,4,88.5,0,1,0,0.25,5,8
188,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
189,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
190,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
191,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
192,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
193,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
194,192.168.1.163,4,88.5,0,1,0,0.25,5,8
195,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
196,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
197,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
198,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
199,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
200,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
201,192.168.1.163,4,88.5,0,1,0,0.25,5,8
202,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
203,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
204,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
205,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
206,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
207,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
208,192.168.1.163,4,88.5,0,1,0,0.25,5,8
209,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
210,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
211,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
212,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
213,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
214,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
215,192.168.1.163,4,88.5,0,1,0,0.25,5,8
216,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
217,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
218,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
219,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
220,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
221,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
222,192.168.1.163,4,88.5,0,1,0,0.25,5,8
223,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
224,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
225,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
226,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
227,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
228,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
229,192.168.1.163,4,88.5,0,1,0,0.25,5,8
230,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
231,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
232,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
233,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
234,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
235,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
236,192.168.1.163,4,88.5,0,1,0,0.25,5,8
237,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
238,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
239,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
240,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
241,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
242,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
243,192.168.1.163,4,88.5,0,1,0,0.25,5,8
244,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
245,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
246,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
247,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
248,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
249,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
250,192.168.1.163,4,88.5,0,1,0,0.25,5,8
251,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
252,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
253,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
254,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
255,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
256,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
257,192.168.1.163,4,88.5,0,1,0,0.25,5,8
258,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
259,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
260,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
261,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
262,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
263,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
264,192.168.1.163,4,88.5,0,1,0,0.25,5,8
265,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
266,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
267,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
268,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
269,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
270,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
271,192.168.1.163,4,88.5,0,1,0,0.25,5,8
272,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
273,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
274,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
275,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
276,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
277,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
278,192.168.1.163,4,88.5,0,1,0,0.25,5,8
279,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
280,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
281,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
282,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
283,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
284,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
285,192.168.1.163,4,88.5,0,1,0,0.25,5,8
286,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
287,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
288,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
289,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
290,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
291,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
292,192.168.1.163,4,88.5,0,1,0,0.25,5,8
293,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
294,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
295,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
296,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
297,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
298,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
299,192.168.1.163,4,88.5,0,1,0,0.25,5,8
300,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
301,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
302,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
303,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
304,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
305,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
306,192.168.1.163,4,88.5,0,1,0,0.25,5,8
307,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
308,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
309,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
310,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
311,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
312,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
313,192.168.1.163,4,88.5,0,1,0,0.25,5,8
314,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
315,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
316,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
317,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
318,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
